Driver,Position,Time,Status,Points
VER,1,01:27:57.940000,Finished,26
HAM,2,+00:00:24.090000,Finished,18
RUS,3,+00:00:32.389000,Finished,15
PER,4,+00:00:35.812000,Finished,12
SAI,5,+00:00:45.698000,Finished,10
STR,6,+00:01:03.320000,Finished,8
ALO,7,+00:01:04.127000,Finished,6
OCO,8,+00:01:09.242000,Finished,4
ZHO,9,+00:01:11.878000,Finished,2
GAS,10,+00:01:13.530000,Finished,1
LEC,11,+00:01:14.419000,Finished,0
TSU,12,+00:01:15.416000,Finished,0
PIA,13,,+1 Lap,0
DEV,14,,+1 Lap,0
HUL,15,,+1 Lap,0
ALB,16,,+1 Lap,0
NOR,17,,+1 Lap,0
MAG,18,,+1 Lap,0
BOT,19,,+1 Lap,0
SAR,20,,+1 Lap,0
