Driver,Position,Time,Status,Points
VER,1,01:31:44.742000,Finished,26
PER,2,+00:00:22.457000,Finished,18
SAI,3,+00:00:25.110000,Finished,15
LEC,4,+00:00:39.669000,Finished,12
RUS,5,+00:00:46.788000,Finished,10
NOR,6,+00:00:48.458000,Finished,8
HAM,7,+00:00:50.324000,Finished,6
PIA,8,+00:00:56.082000,Finished,4
ALO,9,+00:01:14.887000,Finished,2
STR,10,+00:01:33.216000,Finished,1
ZHO,11,,+1 Lap,0
MAG,12,,+1 Lap,0
RIC,13,,+1 Lap,0
TSU,14,,+1 Lap,0
ALB,15,,+1 Lap,0
HUL,16,,+1 Lap,0
OCO,17,,+1 Lap,0
GAS,18,,+1 Lap,0
BOT,19,,+1 Lap,0
SAR,20,,+2 Laps,0
